machine_name,model_name,board_name,lot_number,model_code,default_date,volume,rest_volume,line_code,productions,divisions_volume
GC05,CN-SNDFJ0CJ,771ANAVI,1199471-10,Y8470813R,2025-11-12,1.0,0,GC03,"{datetime.datetime(2025, 11, 19, 0, 0): 7}",1
GC05,CN-SNDFJ0CJ,771ANAVI,1199471-20,Y8470813R,2025-11-12,7.0,0,GC03,"{datetime.datetime(2025, 11, 19, 0, 0): 7}",1
GC05,CN-SNDFJ0CJ,771ANAVI,1199759-10,Y8470813R,2025-12-03,7.0,0,GC03,"{datetime.datetime(2025, 11, 19, 0, 0): 1}",1
GC05,CN-SNDFJ0CJ,771ANAVI,1199759-20,Y8470813R,2025-12-03,1.0,0,GC03,"{datetime.datetime(2025, 11, 19, 0, 0): 1}",1
GC05,CN-SBDFJ0CJ,771ANAVI,1199913-10,Y8470813R,2025-12-15,1.0,0,GC03,"{datetime.datetime(2025, 11, 19, 0, 0): 5}",1
GC05,CN-SNDFJ0CJ,771BNAVI,1199915-10,Y8470817R,2025-12-17,5.0,0,GC03,"{datetime.datetime(2025, 11, 19, 0, 0): 1}",1
GC05,CN-SNDFJ0CJ,771ANAVI,1199916-10,Y8470813R,2025-12-17,1.0,0,GC03,"{datetime.datetime(2025, 11, 19, 0, 0): 1}",1
GC05,CN-SBDFJ0CJ,771ANAVI,1199913-20,Y8470813R,2025-12-15,1.0,0,GC03,"{datetime.datetime(2025, 11, 19, 0, 0): 5}",1
GC05,CN-SNDFJ0CJ,771BNAVI,1199915-20,Y8470817R,2025-12-17,5.0,0,GC03,"{datetime.datetime(2025, 11, 19, 0, 0): 1}",1
GC05,CN-SNDFJ0CJ,771ANAVI,1199916-20,Y8470813R,2025-12-17,1.0,0,GC03,"{datetime.datetime(2025, 11, 19, 0, 0): 1}",1
GC05,FH1212C0F,771ANAVI,1199732-10,Y8470813R,2025-11-28,1.0,0,GC20,"{datetime.datetime(2025, 11, 19, 0, 0): 100}",2
GC05,FH1212C0F,MAIN集合,1199732-20,Y8469909R,2025-11-28,100.0,0,GC20,"{datetime.datetime(2025, 11, 19, 0, 0): 100}",2
GC05,FH1212C0F,MAIN集合,-10,Y8469909R,2026-02-09,100.0,0,GC20,"{datetime.datetime(2025, 11, 19, 0, 0): 140}",2
GC05,FH1212C0F,MAIN集合,-20,Y8469909R,2026-02-09,140.0,0,GC20,"{datetime.datetime(2025, 11, 19, 0, 0): 140}",2
GC05,FH1622A0F,MAIN集合,1199312-10,Y8469909R,2025-11-05,140.0,0,GC20,"{datetime.datetime(2025, 11, 19, 0, 0): 170}",1
GC05,FH1682B0F,MAIN,1199054-10,Y8469892R,2025-10-27,80.0,0,GC20,"{datetime.datetime(2025, 11, 19, 0, 0): 180}",2
GC05,FH1682B0F,MAIN集合,1199054-20,Y8469888RA,2025-10-27,180.0,0,GC20,"{datetime.datetime(2025, 11, 19, 0, 0): 180}",2
GC05,FH1682B0F,MAIN集合,1199873-10,Y8469888RA,2025-12-08,180.0,0,GC20,"{datetime.datetime(2025, 11, 19, 0, 0): 38}",2
GC05,FH1682B0F,MAIN集合,1199873-20,Y8469888RA,2025-12-08,38.0,0,GC20,"{datetime.datetime(2025, 11, 19, 0, 0): 38}",2
GC06,CN-SNDFJ0CJ,770AMAIN,1199787-10,Y8470811R,2025-11-14,460.0,0,GC03,"{datetime.datetime(2025, 11, 14, 0, 0): 460}",1
GC06,CN-SNDFJ0CJ,770AMAIN,1199788-10,Y8470811R,2025-11-14,430.0,0,GC03,"{datetime.datetime(2025, 11, 14, 0, 0): 115, datetime.datetime(2025, 11, 17, 0, 0): 315}",1
GC06,CN-SNDFJ0CJ,770AMAIN,1199789-10,Y8470811R,2025-11-14,400.0,0,GC03,"{datetime.datetime(2025, 11, 17, 0, 0): 260, datetime.datetime(2025, 11, 18, 0, 0): 140}",1
