no,name
1,はんだ少
2,はんだルーズ
3,ズレ
4,異物（フラックス）
5,欠品
6,リード浮き
7,リード曲がり
8,浮き
9,異物（基板屑）
10,"破損,カケ"
11,はんだ過多
12,はんだタッチ
13,余剰部品
14,裏装着
15,立ち
16,部品不良
17,異物（ゴミ類）
18,トビ
19,逆装着
,
